Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Other,1000-2000 sq. ft.,5 Occupants,Electricity,$150-$200,2400
Other,1000-2000 sq. ft.,5 Occupants,Electricity,Over $200,3500
Other,1000-2000 sq. ft.,5 Occupants,Oil,Under $50,2800
Other,1000-2000 sq. ft.,5 Occupants,Oil,$50-$100,5500
Other,1000-2000 sq. ft.,5 Occupants,Oil,$100-$150,6100
Other,1000-2000 sq. ft.,5 Occupants,Oil,$150-$200,5900
Other,1000-2000 sq. ft.,5 Occupants,Oil,Over $200,6200
Other,1000-2000 sq. ft.,5 Occupants,Propane,Under $50,5570
Other,1000-2000 sq. ft.,5 Occupants,Propane,$50-$100,6340
Other,1000-2000 sq. ft.,5 Occupants,Propane,$100-$150,6500
Other,1000-2000 sq. ft.,5 Occupants,Propane,$150-$200,6080
Other,1000-2000 sq. ft.,5 Occupants,Propane,Over $200,7400
Other,1000-2000 sq. ft.,5 Occupants,Wood,Under $50,2200
Other,1000-2000 sq. ft.,5 Occupants,Wood,$50-$100,3800
Other,1000-2000 sq. ft.,5 Occupants,Wood,$100-$150,5100
Other,1000-2000 sq. ft.,5 Occupants,Wood,$150-$200,4400
Other,1000-2000 sq. ft.,5 Occupants,Wood,Over $200,5430
Other,Over 2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2822
Other,Over 2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,3600
Other,Over 2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,5000
Other,Over 2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,8000
Other,Over 2000 sq. ft.,1 Occupant,Natural Gas,Over $200,9500
Other,Over 2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Other,Over 2000 sq. ft.,1 Occupant,Electricity,$50-$100,1200
Other,Over 2000 sq. ft.,1 Occupant,Electricity,$100-$150,1800
Other,Over 2000 sq. ft.,1 Occupant,Electricity,$150-$200,2400
Other,Over 2000 sq. ft.,1 Occupant,Electricity,Over $200,2800
Other,Over 2000 sq. ft.,1 Occupant,Oil,Under $50,2810
Other,Over 2000 sq. ft.,1 Occupant,Oil,$50-$100,4300
Other,Over 2000 sq. ft.,1 Occupant,Oil,$100-$150,5300
Other,Over 2000 sq. ft.,1 Occupant,Oil,$150-$200,5440
Other,Over 2000 sq. ft.,1 Occupant,Oil,Over $200,5670
Other,Over 2000 sq. ft.,1 Occupant,Propane,Under $50,3340
Other,Over 2000 sq. ft.,1 Occupant,Propane,$50-$100,5900
Other,Over 2000 sq. ft.,1 Occupant,Propane,$100-$150,3510
Other,Over 2000 sq. ft.,1 Occupant,Propane,$150-$200,3800
Other,Over 2000 sq. ft.,1 Occupant,Propane,Over $200,6200
Other,Over 2000 sq. ft.,1 Occupant,Wood,Under $50,3800
Other,Over 2000 sq. ft.,1 Occupant,Wood,$50-$100,3500
Other,Over 2000 sq. ft.,1 Occupant,Wood,$100-$150,4100
Other,Over 2000 sq. ft.,1 Occupant,Wood,$150-$200,4200
Other,Over 2000 sq. ft.,1 Occupant,Wood,Over $200,4300
Other,Over 2000 sq. ft.,2 Occupants,Natural Gas,Under $50,3010
Other,Over 2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,3840
Other,Over 2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,6200
Other,Over 2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,8300
Other,Over 2000 sq. ft.,2 Occupants,Natural Gas,Over $200,10100
Other,Over 2000 sq. ft.,2 Occupants,Electricity,Under $50,560
Other,Over 2000 sq. ft.,2 Occupants,Electricity,$50-$100,1380
Other,Over 2000 sq. ft.,2 Occupants,Electricity,$100-$150,2000
Other,Over 2000 sq. ft.,2 Occupants,Electricity,$150-$200,2500
Other,Over 2000 sq. ft.,2 Occupants,Electricity,Over $200,3000
Other,Over 2000 sq. ft.,2 Occupants,Oil,Under $50,3000
Other,Over 2000 sq. ft.,2 Occupants,Oil,$50-$100,4900
Other,Over 2000 sq. ft.,2 Occupants,Oil,$100-$150,5690
Other,Over 2000 sq. ft.,2 Occupants,Oil,$150-$200,5600
Other,Over 2000 sq. ft.,2 Occupants,Oil,Over $200,5800
Other,Over 2000 sq. ft.,2 Occupants,Propane,Under $50,3940
Other,Over 2000 sq. ft.,2 Occupants,Propane,$50-$100,6330
Other,Over 2000 sq. ft.,2 Occupants,Propane,$100-$150,4110
Other,Over 2000 sq. ft.,2 Occupants,Propane,$150-$200,4500
Other,Over 2000 sq. ft.,2 Occupants,Propane,Over $200,6900
Other,Over 2000 sq. ft.,2 Occupants,Wood,Under $50,4070
Other,Over 2000 sq. ft.,2 Occupants,Wood,$50-$100,3930
Other,Over 2000 sq. ft.,2 Occupants,Wood,$100-$150,4500
Other,Over 2000 sq. ft.,2 Occupants,Wood,$150-$200,4640
Other,Over 2000 sq. ft.,2 Occupants,Wood,Over $200,4700
Other,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3300
Other,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3900
Other,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,7000
Other,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,9000
Other,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,10300
Other,Over 2000 sq. ft.,3-4 Occupants,Electricity,Under $50,890
Other,Over 2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1600
Other,Over 2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,2200
Other,Over 2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2650
Other,Over 2000 sq. ft.,3-4 Occupants,Electricity,Over $200,3800
Other,Over 2000 sq. ft.,3-4 Occupants,Oil,Under $50,3468
Other,Over 2000 sq. ft.,3-4 Occupants,Oil,$50-$100,5320
Other,Over 2000 sq. ft.,3-4 Occupants,Oil,$100-$150,6250
Other,Over 2000 sq. ft.,3-4 Occupants,Oil,$150-$200,5800
Other,Over 2000 sq. ft.,3-4 Occupants,Oil,Over $200,6100
Other,Over 2000 sq. ft.,3-4 Occupants,Propane,Under $50,4840
Other,Over 2000 sq. ft.,3-4 Occupants,Propane,$50-$100,6440
Other,Over 2000 sq. ft.,3-4 Occupants,Propane,$100-$150,5010
Other,Over 2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5380
Other,Over 2000 sq. ft.,3-4 Occupants,Propane,Over $200,7500
Other,Over 2000 sq. ft.,3-4 Occupants,Wood,Under $50,5000
Other,Over 2000 sq. ft.,3-4 Occupants,Wood,$50-$100,4360
Other,Over 2000 sq. ft.,3-4 Occupants,Wood,$100-$150,4780
Other,Over 2000 sq. ft.,3-4 Occupants,Wood,$150-$200,5000
Other,Over 2000 sq. ft.,3-4 Occupants,Wood,Over $200,5100
Other,Over 2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3600
Other,Over 2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,5100
Other,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,8000
Other,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,9500
Other,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,11000
Other,Over 2000 sq. ft.,5 Occupants,Electricity,Under $50,1000
Other,Over 2000 sq. ft.,5 Occupants,Electricity,$50-$100,1750
Other,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2300
Other,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,2800
Other,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,4300
Other,Over 2000 sq. ft.,5 Occupants,Oil,Under $50,3760
Other,Over 2000 sq. ft.,5 Occupants,Oil,$50-$100,5800
Other,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,6500
Other,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,6000
Other,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,6350
Other,Over 2000 sq. ft.,5 Occupants,Propane,Under $50,5740
Other,Over 2000 sq. ft.,5 Occupants,Propane,$50-$100,6900
Other,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,5910
Other,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,6200
Other,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,7850
Other,Over 2000 sq. ft.,5 Occupants,Wood,Under $50,5600
Other,Over 2000 sq. ft.,5 Occupants,Wood,$50-$100,5000
Other,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,5360
Other,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,5400
Other,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,5500
